# 20Msun surface properties as a function of time; 
# Created with notebook "20Msun-surfacedata.ipynb" on 
# NuGrid server http://wendi1.phys.uvic.ca
# Cols:   star_age [yr], log_L [log10 L/Lsun],    log_Teff [log10 T/K],    log_R [log10 R/Rsun],    log_g [log g [cgs]]
2.772757112662526103e-06 4.202960982801576151e+00 3.505713050661405372e+00 2.613313226530605160e+00 5.122928960158962264e-01
3.327336818437243741e-06 4.203653252815696462e+00 3.505886165309401115e+00 2.613313132241674275e+00 5.122930845937581079e-01
3.992832465366904651e-06 4.204366922071884893e+00 3.506064591232995742e+00 2.613313115022578348e+00 5.122931190319502948e-01
4.791427241682498083e-06 4.205091062384956224e+00 3.506245636959214984e+00 2.613313093726675973e+00 5.122931616237547114e-01
5.749740973261210201e-06 4.205812424582196840e+00 3.506425816974930498e+00 2.613313414793864808e+00 5.122925194893767076e-01
6.899717451155664403e-06 4.206516382341622950e+00 3.506601684693526177e+00 2.613313658236386949e+00 5.122920326043332029e-01
8.279689224629008769e-06 4.207188308259333986e+00 3.506769472557003997e+00 2.613314045468286384e+00 5.122912581405335564e-01
9.935655352797024379e-06 4.207807223603228231e+00 3.506924027243469855e+00 2.613314393767302679e+00 5.122905615425014103e-01
1.192281470659864074e-05 4.208352888257577362e+00 3.507060141848780344e+00 2.613314996883855823e+00 5.122893553093950114e-01
1.430740593116058139e-05 4.208805040073015924e+00 3.507172791059561145e+00 2.613315774370013500e+00 5.122878003370794353e-01
1.716891540063491051e-05 4.209135328582730651e+00 3.507255013554527512e+00 2.613316473634938575e+00 5.122864018072291747e-01
2.060272676400410071e-05 4.209316596824388412e+00 3.507299836715133345e+00 2.613317461434555344e+00 5.122844262079957467e-01
2.472330040004713301e-05 4.209317050048849929e+00 3.507299378605504891e+00 2.613318604266042566e+00 5.122821405450216359e-01
2.966798876329877516e-05 4.209102063809264216e+00 3.507244966405089759e+00 2.613319935547080419e+00 5.122794779829459300e-01
3.560161479920074574e-05 4.208634452026387862e+00 3.507127349245420245e+00 2.613321363974980827e+00 5.122766211271445602e-01
4.272196604228310773e-05 4.207876309742705878e+00 3.506936908194116853e+00 2.613323174935746618e+00 5.122729992056136439e-01
5.126638753398193534e-05 4.206786914235880914e+00 3.506663431225018002e+00 2.613325431120532283e+00 5.122684868360423138e-01
6.151969332402052848e-05 4.205326536160994166e+00 3.506297104254403330e+00 2.613327896024317809e+00 5.122635570284713724e-01
7.382366027206685379e-05 4.203461473573457674e+00 3.505829264819869895e+00 2.613331043599617320e+00 5.122572618778724607e-01
8.858842060972242519e-05 4.201161401352297098e+00 3.505252185788723107e+00 2.613335165551329720e+00 5.122490179744475514e-01
1.063061330149091136e-04 4.198408526317960465e+00 3.504561383401533892e+00 2.613340332808540722e+00 5.122386834600255456e-01
1.275673879011331505e-04 4.195209854048732367e+00 3.503758237021687538e+00 2.613347289433618936e+00 5.122247702098688960e-01
1.530808937646019785e-04 4.191604773718534460e+00 3.502852676029397649e+00 2.613355871253099760e+00 5.122076065709073589e-01
1.836971008007645993e-04 4.187691856774710786e+00 3.501869161518441853e+00 2.613366441803099516e+00 5.121864654709072928e-01
2.204365492441597170e-04 4.183650952602295803e+00 3.500852399635610457e+00 2.613379513482554817e+00 5.121603221119972460e-01
2.645238873762338692e-04 4.179756980368506625e+00 3.499871390008540750e+00 2.613394546619798753e+00 5.121302558375081526e-01
3.174286931347228193e-04 4.176366890465367021e+00 3.499015565698632368e+00 2.613411150288046603e+00 5.120970485010116757e-01
3.809144600449096028e-04 4.173855986984939648e+00 3.498379374126909358e+00 2.613428081691278493e+00 5.120631856945448979e-01
4.570973803371336996e-04 4.172517683709980219e+00 3.498036631821990650e+00 2.613444414663636639e+00 5.120305197498212779e-01
5.485168846878027025e-04 4.172465354845154906e+00 3.498015624064198636e+00 2.613460265746808009e+00 5.119988175834627731e-01
6.582202899086054193e-04 4.173631130196836736e+00 3.498299317900074978e+00 2.613475765750896240e+00 5.119678175752528926e-01
7.898643761735686794e-04 4.175793720423770949e+00 3.498831692066287857e+00 2.613492312531937589e+00 5.119347240131056909e-01
9.478372796915244831e-04 4.178766755395591836e+00 3.499565485156030054e+00 2.613511243838363640e+00 5.118968614001290218e-01
1.137404763913071534e-03 4.182326577624776220e+00 3.500444161087601813e+00 2.613533803089812313e+00 5.118517428969958649e-01
1.364885744978928082e-03 4.186296560640322184e+00 3.501422713776332074e+00 2.613561689220124329e+00 5.117959706359314076e-01
1.637862922257955680e-03 4.190558842677534201e+00 3.502471224363032043e+00 2.613595809065330844e+00 5.117277309447054723e-01
1.965435534992788971e-03 4.195060834127182225e+00 3.503575804036342944e+00 2.613637645443532609e+00 5.116440581869210469e-01
2.358522670274589353e-03 4.199806309814110072e+00 3.504736706271945224e+00 2.613688578815792418e+00 5.115421914407212167e-01
2.830227232612749205e-03 4.205013842453738881e+00 3.506007725680030163e+00 2.613750306319436945e+00 5.114187364313860229e-01
3.396272707418541374e-03 4.210556908723646963e+00 3.507356363375230934e+00 2.613824564063989442e+00 5.112702209397842479e-01
4.075527277185491369e-03 4.216471877248499034e+00 3.508790510011302377e+00 2.613913755054272148e+00 5.110918389561711628e-01
4.890632760905832058e-03 4.222861494492369694e+00 3.510334776014508940e+00 2.614020031669794353e+00 5.108792857214002892e-01
5.868759341370239670e-03 4.230044283213996614e+00 3.512066764008150876e+00 2.614147450043324383e+00 5.106244489697780997e-01
7.042511237927529671e-03 4.237774222091877263e+00 3.513923770351609743e+00 2.614298406795346530e+00 5.103225354601345076e-01
8.451013513796278367e-03 4.246063487216619414e+00 3.515906921002938113e+00 2.614476738055060867e+00 5.099658729338210073e-01
1.014121624483877576e-02 4.254861896075060379e+00 3.518001817889405469e+00 2.614686148711347080e+00 5.095470516127685867e-01
1.216945952208977298e-02 4.264226542183167545e+00 3.520220620126771394e+00 2.614930867290668814e+00 5.090576144436625983e-01
1.460335145479096930e-02 4.274129169177616205e+00 3.522554013389875394e+00 2.615215394261685589e+00 5.084885604886970611e-01
1.752402177403240488e-02 4.284516614375274202e+00 3.524986531108746046e+00 2.615544081422772837e+00 5.078311861505095948e-01
2.102882615712212827e-02 4.295105803169945169e+00 3.527445906562848954e+00 2.615919924911902505e+00 5.070794991523924766e-01
2.523459141682979356e-02 4.305845153114306711e+00 3.529917168038862130e+00 2.616347076932056925e+00 5.062251950874379069e-01
3.028150972847899400e-02 4.317402559903382731e+00 3.532563825231822552e+00 2.616832465940674091e+00 5.052544170396010559e-01
3.633781170245803382e-02 4.328281168579568572e+00 3.535014611152998754e+00 2.617370198436414164e+00 5.041789520100170563e-01
4.360537407123288300e-02 4.339022004885303652e+00 3.537402131638693437e+00 2.617965575617893226e+00 5.029881975997140264e-01
5.232644891376269508e-02 4.349428309873905718e+00 3.539677669083579392e+00 2.618617653222422348e+00 5.016840423318449371e-01
6.279173872479847096e-02 4.359724837450391632e+00 3.541897083576335703e+00 2.619327088025152683e+00 5.002651726533987597e-01
7.535008649804141034e-02 4.369430884585027819e+00 3.543943091112657484e+00 2.620088096519826326e+00 4.987431555734966326e-01
9.042010382593293483e-02 4.378586215714795671e+00 3.545827937062901114e+00 2.620896070184223436e+00 4.971272081325439074e-01
1.085041246194027587e-01 4.387118197221658633e+00 3.547536731787542141e+00 2.621744471488373307e+00 4.954304053855526635e-01
1.302049495715665584e-01 4.394963648291137837e+00 3.549058302179682656e+00 2.622624056238830992e+00 4.936712357134542262e-01
1.562459395141630736e-01 4.402070137403453209e+00 3.550384487864667538e+00 2.623524929425018914e+00 4.918694891302297645e-01
1.874951274452789363e-01 4.408434974633506087e+00 3.551519862564953112e+00 2.624436598639474205e+00 4.900461504421990133e-01
2.249941529626179604e-01 4.414088518362135893e+00 3.552477642670163860e+00 2.625347810293368500e+00 4.882237268166950694e-01
2.699929835834247727e-01 4.419076203147627169e+00 3.553274960492286638e+00 2.626247017041867693e+00 4.864253129309953350e-01
3.239915803283929807e-01 4.423450164037305399e+00 3.553930466077911632e+00 2.627122986315456821e+00 4.846733739092654591e-01
3.887898964223547860e-01 4.427267740398280971e+00 3.554464323366710143e+00 2.627964059918347584e+00 4.829912261252498062e-01
4.665478757351089745e-01 4.430583197577958821e+00 3.554895781305307700e+00 2.628758872630992283e+00 4.814015999966554937e-01
5.598574509104140562e-01 4.433443136167749543e+00 3.555242421114599871e+00 2.629495562307302858e+00 4.799282197900165969e-01
6.718289411207800654e-01 4.435885478276681226e+00 3.555519586178403024e+00 2.630162403234162394e+00 4.785945369008539618e-01
8.061947293732191211e-01 4.437939770529103711e+00 3.555740729966023750e+00 2.630747261785132185e+00 4.774248185453009996e-01
9.674336752761462099e-01 4.439629314339083699e+00 3.555917252387924776e+00 2.631238988846320570e+00 4.764413629072419831e-01
1.160920410359658650e+00 4.440971034357933611e+00 3.556059161542751923e+00 2.631626030546090789e+00 4.756672776775694444e-01
1.393104492459873667e+00 4.441980452501941734e+00 3.556175331488870217e+00 2.631898399725857818e+00 4.751225371110496254e-01
1.671725390980131509e+00 4.442669596136545884e+00 3.556273524304887967e+00 2.632046585911124836e+00 4.748261620824142382e-01
2.006070469204440876e+00 4.443049578075641826e+00 3.556360496953425265e+00 2.632062631583598211e+00 4.747940675399915933e-01
2.407284563073612382e+00 4.443129038620640792e+00 3.556442392346979453e+00 2.631938571068989319e+00 4.750421847275833609e-01
2.888741475716618101e+00 4.442914142369606800e+00 3.556524365093923112e+00 2.631667177449585449e+00 4.755849673564062075e-01
3.466489770888224520e+00 4.442409293350182864e+00 3.556611109048439356e+00 2.631241265030840992e+00 4.764367866685002006e-01
4.159787725094152400e+00 4.441614001256380284e+00 3.556706751185224835e+00 2.630652334710368301e+00 4.776146406948075795e-01
4.991745270141265678e+00 4.440521055227040215e+00 3.556815095320717379e+00 2.629889173424712734e+00 4.791409553571445157e-01
5.990094324197801967e+00 4.439136507024311840e+00 3.556945321390062364e+00 2.628936447184659020e+00 4.810463983925900022e-01
7.188113189065646225e+00 4.437799352884953308e+00 3.557195577054488744e+00 2.627767358786126550e+00 4.833845639254603643e-01
8.625735826907058978e+00 4.435693620516442337e+00 3.557370271768744541e+00 2.626365103173359916e+00 4.861890617203595832e-01
1.035088299231675357e+01 4.433357396227798120e+00 3.557623929328047385e+00 2.624689675910431674e+00 4.895399002778679787e-01
1.242105959080838495e+01 4.430417127611320005e+00 3.557884587697369483e+00 2.622698224863548866e+00 4.935227834096690969e-01
1.472592778602651720e+01 4.427182328187239335e+00 3.558171276231744340e+00 2.620507448082759261e+00 4.979043161319133270e-01
1.717540713184871848e+01 4.423695422095849317e+00 3.558447609267957557e+00 2.618211328964636930e+00 5.024965325353946133e-01
1.971967942506971738e+01 4.420157965472849781e+00 3.558739966213448014e+00 2.615857886762156248e+00 5.072033946063270182e-01
2.233304395980196944e+01 4.416952244170635922e+00 3.559135080914101135e+00 2.613464796709743521e+00 5.119895521242984193e-01
2.499754427475102148e+01 4.413328197512242923e+00 3.559429380746773397e+00 2.611064173715202053e+00 5.167907754179514868e-01
2.770143547820872953e+01 4.409669210071885281e+00 3.559715222804284540e+00 2.608662995880001834e+00 5.215931084206393287e-01
3.044286051914286517e+01 4.406032814993293911e+00 3.560006656517972434e+00 2.606261930913329916e+00 5.263952157365637818e-01
3.322376762428051933e+01 4.402989129026433801e+00 3.560453122922547564e+00 2.603847155120749601e+00 5.312247447413077639e-01
3.605418005602223985e+01 4.399342562550107694e+00 3.560749245897746551e+00 2.601431625932189018e+00 5.360557804582849473e-01
3.892750393598937819e+01 4.395727213822401502e+00 3.561054424697271514e+00 2.599013593969285107e+00 5.408918217454452559e-01
4.183258764733671597e+01 4.392453220902827304e+00 3.561444773493614768e+00 2.596595899916811945e+00 5.457271873226569037e-01
4.477729069861663902e+01 4.388755870499856826e+00 3.561725608741594939e+00 2.594185554219365919e+00 5.505478562190011527e-01
4.776012593405454254e+01 4.385125806716978047e+00 3.562022285212538275e+00 2.591777169386039859e+00 5.553646034607290227e-01
5.078242956515358486e+01 4.381505845839987145e+00 3.562320692724805671e+00 2.589370373923010060e+00 5.601781720242550167e-01
5.385088161014731156e+01 4.378148960146159396e+00 3.562689315641153875e+00 2.586954685243399332e+00 5.650095270375460332e-01
5.696415724892796106e+01 4.374484890537631898e+00 3.562979635687273827e+00 2.584542010346896124e+00 5.698348544978875108e-01
6.011460083008192612e+01 4.370815516154761049e+00 3.563265757231488084e+00 2.582135080067032185e+00 5.746486928180450926e-01
6.330242927455523727e+01 4.367659831753658572e+00 3.563683225828252255e+00 2.579722300672952606e+00 5.794742294610356614e-01
6.654241313450974360e+01 4.364058715998581306e+00 3.563989130294554553e+00 2.577309933862809377e+00 5.842989408970677978e-01
6.983208631448972881e+01 4.360329198401274198e+00 3.564263067390870621e+00 2.574897300871523242e+00 5.891241847093336981e-01
7.316387496051818573e+01 4.357070237063849660e+00 3.564657764642221949e+00 2.572478425700109206e+00 5.939619129599215119e-01
7.654716769047350056e+01 4.353489736072221561e+00 3.564972007652432939e+00 2.570059689183873175e+00 5.987993638881679015e-01
7.998343647935334388e+01 4.349850091940663077e+00 3.565272780501203886e+00 2.567638321420551151e+00 6.036420773163365672e-01
8.346614549748194634e+01 4.346350887242157235e+00 3.565609674360121772e+00 2.565214931353462902e+00 6.084888354085761231e-01
8.699760383659717888e+01 4.342565189231063272e+00 3.565872349147493736e+00 2.562796732773171993e+00 6.133252105636209928e-01
9.058430389988869536e+01 4.339314917389259563e+00 3.566275786939596681e+00 2.560364721268063803e+00 6.181892115883649286e-01
9.422269791491984847e+01 4.335645744300361315e+00 3.566572275880324217e+00 2.557937156842160054e+00 6.230443184653892130e-01
9.790491838918804035e+01 4.332033153857329566e+00 3.566880675252899646e+00 2.555514062875493764e+00 6.278904845142028179e-01
1.016343313697853006e+02 4.329080920878764616e+00 3.567359881123961962e+00 2.553079534644086213e+00 6.327595191617695347e-01
1.054270403288859512e+02 4.325316093667296080e+00 3.567633495909074082e+00 2.550649891468127706e+00 6.376187836338748083e-01
1.092803414121736836e+02 4.322177428209458050e+00 3.568071429521048721e+00 2.548204691515258968e+00 6.425091616716422926e-01
1.131866053399871674e+02 4.318479014545717476e+00 3.568365276843200817e+00 2.545767790039084488e+00 6.473829427740207532e-01
1.171706346159069057e+02 4.314903236090119165e+00 3.568697665325998525e+00 2.543315123845690806e+00 6.522882532339290274e-01
1.212233285149993947e+02 4.311340708109201891e+00 3.569037525849049430e+00 2.540854138809129914e+00 6.572102013529579345e-01
1.253361104936658137e+02 4.307604209275383234e+00 3.569333243812788936e+00 2.538394453464741574e+00 6.621295501118827920e-01
1.295022925828025109e+02 4.303838059740321853e+00 3.569619518455367846e+00 2.535938829412052620e+00 6.670407763631680531e-01
1.337282907473150999e+02 4.300341880743889789e+00 3.569976037818889392e+00 2.533477701186793940e+00 6.719630110073971929e-01
1.380183675447101166e+02 4.296616805488474355e+00 3.570274943902048470e+00 2.531017351392768067e+00 6.768836888015338227e-01
1.423707580994629325e+02 4.293291127373223937e+00 3.570677961299998593e+00 2.528548477539242612e+00 6.818214147561710847e-01
1.467919591502621302e+02 4.289812171999572321e+00 3.571044192821213326e+00 2.526076536809987338e+00 6.867652744495501560e-01
1.512768898712449186e+02 4.286092671875169735e+00 3.571348711972153200e+00 2.523607748445905852e+00 6.917028294402565169e-01
1.558399611097080424e+02 4.282359403883656768e+00 3.571653538074049727e+00 2.521131462246357202e+00 6.966553800812991248e-01
1.604756908337381844e+02 4.278815601350479447e+00 3.572009577466086050e+00 2.518647482195695897e+00 7.016233184372956400e-01
1.651804950705386261e+02 4.275049525541452233e+00 3.572309183424597467e+00 2.516165232374159455e+00 7.065877963571747244e-01
1.699477371165537818e+02 4.271214443560872986e+00 3.572589349381385837e+00 2.513687359470292204e+00 7.115435205135564045e-01
1.747842222713340163e+02 4.268163936546877757e+00 3.573073200187636633e+00 2.511194404350793441e+00 7.165294091505588492e-01
1.797043800389625119e+02 4.264420939061600357e+00 3.573383346930691484e+00 2.508702612122045483e+00 7.215129719441972789e-01
1.846951505945400243e+02 4.260673777651615701e+00 3.573691995353887929e+00 2.506211734570659377e+00 7.264947054305767038e-01
1.897452021111210740e+02 4.256899940664354176e+00 3.573990693312906419e+00 2.503727420158991634e+00 7.314633127377192512e-01
1.948692625653791026e+02 4.252928016651671861e+00 3.574239050729490774e+00 2.501244743319482655e+00 7.364286449430149650e-01
2.000774267146723275e+02 4.249898963300671184e+00 3.574733218161761705e+00 2.498741881779439566e+00 7.414343465677701861e-01
2.053693567660457120e+02 4.246128206690455542e+00 3.575039416316828422e+00 2.496244107164198311e+00 7.464298743061930086e-01
2.107252307173268377e+02 4.242350410578452191e+00 3.575340620108324430e+00 2.493752801525204621e+00 7.514124641892615530e-01
2.161396531515439108e+02 4.238609238490823827e+00 3.575646852060394565e+00 2.491269751577250613e+00 7.563785428113863896e-01
2.216301246382359977e+02 4.235132231028792660e+00 3.576021250721887590e+00 2.488782450523248535e+00 7.613531236981447847e-01
2.272022232768987919e+02 4.231631229445011577e+00 3.576390960298580168e+00 2.486292530577972837e+00 7.663329423854806643e-01
2.328621558825599607e+02 4.227702758899065216e+00 3.576652393371165140e+00 2.483805429159829714e+00 7.713071240195478184e-01
2.386064124394475527e+02 4.224183594525547925e+00 3.577019608877543444e+00 2.481311415960315347e+00 7.762951292634190370e-01
2.444274128033291049e+02 4.220882057729305359e+00 3.577442891844493378e+00 2.478814081628293753e+00 7.812897768247030195e-01
2.503402407571578010e+02 4.217140429220441078e+00 3.577755320489395707e+00 2.476318410084056953e+00 7.862810987983733790e-01
2.563451366627938341e+02 4.213717834765487780e+00 3.578151696157779060e+00 2.473814361519814042e+00 7.912891748330640462e-01
2.624275234796436962e+02 4.209903528486854896e+00 3.578445806283438113e+00 2.471318988129179051e+00 7.962799005763359084e-01
2.685822869413744911e+02 4.206064574549260193e+00 3.578730035378471896e+00 2.468831052970314133e+00 8.012557499576992148e-01
2.748140040707884282e+02 4.202807847406740294e+00 3.579162535975067172e+00 2.466337688205863632e+00 8.062424586402409110e-01
2.811412938741112271e+02 4.199070763942421181e+00 3.579473368056912630e+00 2.463847482310012715e+00 8.112228495796297567e-01
2.875602076351103733e+02 4.195258097533972830e+00 3.579764791257925349e+00 2.461358302703763545e+00 8.162011879824100369e-01
2.940665452809507201e+02 4.192020675124911833e+00 3.580204013506670613e+00 2.458861147001742520e+00 8.211954786417002827e-01
3.006776398611501122e+02 4.188190779725041502e+00 3.580493753591293071e+00 2.456366719132562437e+00 8.261843136126710840e-01
3.073839308254408706e+02 4.184419421979201026e+00 3.580798050108457087e+00 2.453872447225314612e+00 8.311728367100047477e-01
3.141804909085863642e+02 4.181092624891865839e+00 3.581216176426824660e+00 2.451372796044911873e+00 8.361721184191247547e-01
3.210731422590079660e+02 4.177305075891900366e+00 3.581515916417474799e+00 2.448879541563628415e+00 8.411586067532312860e-01
3.280473788133483026e+02 4.173479704635358445e+00 3.581802474627296728e+00 2.446393739515713150e+00 8.461301903197380181e-01
3.351076066601725643e+02 4.169948537646877007e+00 3.582162086049220040e+00 2.443908933177626253e+00 8.510997825573959341e-01
3.422770185235864346e+02 4.166127749410617476e+00 3.582448532403968766e+00 2.441425646349999035e+00 8.560663357828157682e-01
3.495627074666329577e+02 4.162560319228665762e+00 3.582802239384475840e+00 2.438934517298009030e+00 8.610485734688098081e-01
3.569548724224951002e+02 4.158712600232224332e+00 3.583083810074326969e+00 2.436447516420086057e+00 8.660225548349784752e-01
3.644467826541621776e+02 4.155377283063772964e+00 3.583496217070939238e+00 2.433955043842635835e+00 8.710074796685193244e-01
3.720614117772985310e+02 4.152201564981235826e+00 3.583952915878193757e+00 2.431453787186858229e+00 8.760099726369529050e-01
3.798099395278999282e+02 4.148420117725999390e+00 3.584258057139704690e+00 2.428952781036218145e+00 8.810119645394262067e-01
3.876640436014273519e+02 4.144610489037184209e+00 3.584554064411349383e+00 2.426455952148521167e+00 8.860056019780732095e-01
3.956257652912034928e+02 4.141002038863023316e+00 3.584900068845024990e+00 2.423959718194089064e+00 8.909980496121421290e-01
4.036903447961664710e+02 4.137793520135666370e+00 3.585347359722533156e+00 2.421460877075394702e+00 8.959957116394523524e-01
4.118736569154862650e+02 4.134002909402586745e+00 3.585645359835262891e+00 2.418969571483395420e+00 9.009783026170082865e-01
4.201821010730217836e+02 4.130237571516404138e+00 3.585949738440151080e+00 2.416478145330528182e+00 9.059611347448673913e-01
4.286015371372934624e+02 4.126771556877123714e+00 3.586328956205899310e+00 2.413986702479391067e+00 9.109440003345636860e-01
4.371427304272995116e+02 4.122943745096544710e+00 3.586614411820056691e+00 2.411501885360786357e+00 9.159136144837888294e-01
4.458048662886573084e+02 4.119155175384609180e+00 3.586908197449814484e+00 2.409020029245303451e+00 9.208773066795867823e-01
4.545892018606439251e+02 4.116096735218949476e+00 3.587388847668533387e+00 2.406529508725035793e+00 9.258583277361145392e-01
4.635117344304186986e+02 4.112343839497542675e+00 3.587692300417588243e+00 2.404046155366222681e+00 9.308250144437972828e-01
